,Bairros,Endereco,cliente_lat_long
0,Parque Jardim das Acácias,"Parque Jardim das Acácias, Campos dos Goytacazes - RJ","(-21.7546429, -41.3359471)"
1,Parque Aeroporto,"Parque Aeroporto, Campos dos Goytacazes - RJ","(-21.6969147, -41.307831)"
2,Parque Alberto Torres,"Parque Alberto Torres, Campos dos Goytacazes - RJ","(-21.7481364, -41.3415159)"
3,Parque Aldeia,"Parque Aldeia, Campos dos Goytacazes - RJ","(-21.7254055, -41.332284)"
4,Alphaville,"Alphaville, Campos dos Goytacazes - RJ","(-21.8143577, -41.2847415)"
5,Parque Alvorada,"Parque Alvorada, Campos dos Goytacazes - RJ","(-21.7429556, -41.3184913)"
6,Parque Alzira Vargas,"Parque Alzira Vargas, Campos dos Goytacazes - RJ","(-21.7656981, -41.3252314)"
7,Parque Aurora,"Parque Aurora, Campos dos Goytacazes - RJ","(-21.7788905, -41.3235073)"
8,Parque Avenida Pelinca,"Parque Avenida Pelinca, Campos dos Goytacazes - RJ","(-21.7604812, -41.3320547)"
9,Baixa Grande,"Baixa Grande, Campos dos Goytacazes - RJ","(-21.9492435, -41.13520889999999)"
10,Parque Bandeirantes,"Parque Bandeirantes, Campos dos Goytacazes - RJ","(-21.7213412, -41.309035)"
11,Parque Barão do Rio Branco,"Parque Barão do Rio Branco, Campos dos Goytacazes - RJ","(-21.7336254, -41.3117783)"
12,Parque Bela Vista,"Parque Bela Vista, Campos dos Goytacazes - RJ","(-21.7984896, -41.2968969)"
13,Parque Benta Pereira,"Parque Benta Pereira, Campos dos Goytacazes - RJ","(-21.7782919, -41.299076)"
14,Boa Vista,"Boa Vista, Campos dos Goytacazes - RJ","(-22.0175894, -41.1057915)"
15,Parque Bonsucesso,"Parque Bonsucesso, Campos dos Goytacazes - RJ","(-21.7209727, -41.3145352)"
16,Estrada de Brejo Grande,"Estrada de Brejo Grande, Campos dos Goytacazes - RJ","(-21.6869393, -41.2872059)"
17,Goytacazes,"Goytacazes, Campos dos Goytacazes - RJ","(-21.8322841, -41.2683545)"
18,Caboio,"Caboio, Campos dos Goytacazes - RJ","(-21.9711331, -41.2042577)"
19,Caju,"Caju, Campos dos Goytacazes - RJ","(-21.7444336, -41.3375268)"
20,Parque Calabouco,"Parque Calabouco, Campos dos Goytacazes - RJ","(-21.7372533, -41.3172373)"
21,Parque California,"Parque California, Campos dos Goytacazes - RJ","(-21.759319, -41.306149)"
22,Cambaíba,"Cambaíba, Campos dos Goytacazes - RJ","(-21.7826302, -41.2346476)"
23,Campelo,"Campelo, Campos dos Goytacazes - RJ","(-21.6126661, -41.2218473)"
24,Campo Limpo,"Campo Limpo, Campos dos Goytacazes - RJ","(-21.8595722, -41.2413952)"
25,Estrada de Campo Novo,"Estrada de Campo Novo, Campos dos Goytacazes - RJ","(-21.7598618, -41.190181)"
26,Centro,"Centro, Campos dos Goytacazes - RJ","(-21.760181, -41.32211410000001)"
27,Jardim Carioca,"Jardim Carioca, Campos dos Goytacazes - RJ","(-21.7471402, -41.3247611)"
28,Parque Carlos de Lacerda,"Parque Carlos de Lacerda, Campos dos Goytacazes - RJ","(-21.7748797, -41.3251674)"
29,Estrada do Carvão,"Estrada do Carvão, Campos dos Goytacazes - RJ","(-21.818247, -41.3407277)"
